epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1032.27,1.18699,2.40369,1.57548,0.67116,0.63898,0.67459,0.48268,1.01415,1.32152,1.34065,0.000128295,0.000128295,0.000128295
2,1823.58,1.17406,1.62588,1.54533,0.76974,0.65165,0.72783,0.52742,1.01637,1.12145,1.3389,0.000231223,0.000231223,0.000231223
3,2703.09,1.15824,1.46586,1.52589,0.73994,0.67889,0.73359,0.53657,0.9825,1.07889,1.32116,0.00030874,0.00030874,0.00030874
4,3531.52,1.10065,1.28127,1.46409,0.78158,0.74333,0.7815,0.58413,0.91145,0.91301,1.249,0.000270655,0.000270655,0.000270655
