epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2158.69,0.75074,0.4972,1.16138,0.89042,0.82407,0.87325,0.69705,0.75674,0.59084,1.11356,0.000128295,0.000128295,0.000128295
2,3350.11,0.81947,0.60969,1.21758,0.85516,0.8221,0.86815,0.68966,0.76423,0.60445,1.13319,0.000231223,0.000231223,0.000231223
3,4644.15,0.85072,0.66469,1.24678,0.85126,0.81756,0.85647,0.67292,0.7987,0.62459,1.16392,0.00030874,0.00030874,0.00030874
4,5984.91,0.84076,0.64507,1.2338,0.85593,0.80964,0.86353,0.67529,0.79346,0.62188,1.15505,0.000270655,0.000270655,0.000270655
5,6762.21,0.81554,0.5894,1.21475,0.86449,0.83635,0.87313,0.69346,0.75809,0.58573,1.14112,0.00023254,0.00023254,0.00023254
6,7886.02,0.78638,0.54761,1.19188,0.88352,0.83952,0.87317,0.69905,0.74422,0.56611,1.11096,0.000194425,0.000194425,0.000194425
7,8822.29,0.75585,0.50085,1.16723,0.87582,0.83731,0.88418,0.71419,0.72182,0.53971,1.09651,0.00015631,0.00015631,0.00015631
8,10173,0.72774,0.46377,1.14219,0.86944,0.84865,0.88119,0.71854,0.70497,0.51996,1.08771,0.000118195,0.000118195,0.000118195
9,11759.2,0.70063,0.43095,1.12353,0.88934,0.86445,0.89276,0.73118,0.69862,0.49728,1.08469,8.008e-05,8.008e-05,8.008e-05
