epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1154.69,0.88994,2.66527,1.38792,0.59574,0.38595,0.40859,0.30661,0.83154,1.64447,1.30111,4.0988e-05,4.0988e-05,4.0988e-05
2,2104.98,0.87913,1.51552,1.36273,0.62762,0.42971,0.45556,0.35125,0.83054,1.57216,1.29218,7.38712e-05,7.38712e-05,7.38712e-05
3,4115.86,0.86059,1.31026,1.34157,0.65653,0.44393,0.48505,0.36725,0.81838,1.49391,1.27522,9.86364e-05,9.86364e-05,9.86364e-05
4,5478.3,0.82912,1.13851,1.31126,0.63624,0.46983,0.49097,0.37443,0.83521,1.52238,1.30093,8.6469e-05,8.6469e-05,8.6469e-05
5,7363.36,0.78033,0.97976,1.26787,0.64398,0.53139,0.53876,0.41469,0.7691,1.29766,1.22485,7.4292e-05,7.4292e-05,7.4292e-05
6,8560.61,0.73575,0.84908,1.23033,0.69038,0.5317,0.56431,0.43422,0.77726,1.25498,1.23323,6.2115e-05,6.2115e-05,6.2115e-05
7,9657.54,0.699,0.74685,1.20129,0.65595,0.58408,0.6096,0.48779,0.72441,1.14647,1.18409,4.9938e-05,4.9938e-05,4.9938e-05
8,11110.4,0.66531,0.66264,1.17079,0.69628,0.59714,0.62661,0.49901,0.69529,1.05801,1.16118,3.7761e-05,3.7761e-05,3.7761e-05
9,12737.5,0.62797,0.57908,1.14263,0.69129,0.61693,0.62863,0.50556,0.67944,1.03619,1.14432,2.5584e-05,2.5584e-05,2.5584e-05
10,14326.7,0.59786,0.51175,1.11808,0.67586,0.63876,0.64123,0.51737,0.67469,0.99632,1.14118,1.3407e-05,1.3407e-05,1.3407e-05
