epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1522.47,0.83645,0.64368,1.23215,0.85576,0.80123,0.85033,0.66181,0.80075,0.68971,1.15015,0.000128295,0.000128295,0.000128295
2,2637.48,0.91543,0.81997,1.30081,0.85084,0.79432,0.83776,0.65095,0.82492,0.70204,1.18367,0.000231223,0.000231223,0.000231223
3,3688.72,0.94897,0.86703,1.33212,0.85354,0.76873,0.82414,0.63395,0.86801,0.75129,1.20639,0.00030874,0.00030874,0.00030874
4,5165.57,0.92534,0.81379,1.308,0.84432,0.79603,0.84612,0.65289,0.83377,0.69337,1.17376,0.000270655,0.000270655,0.000270655
5,6716.3,0.89217,0.73951,1.28124,0.85834,0.82281,0.86192,0.67707,0.7853,0.62274,1.15788,0.00023254,0.00023254,0.00023254
6,8256.62,0.85819,0.66499,1.2471,0.86353,0.81955,0.86204,0.67862,0.77036,0.61645,1.12959,0.000194425,0.000194425,0.000194425
7,9809.05,0.82179,0.60198,1.22108,0.88468,0.83374,0.88175,0.70088,0.74504,0.56346,1.12246,0.00015631,0.00015631,0.00015631
8,11369.9,0.78787,0.5394,1.19376,0.87046,0.8448,0.87384,0.70675,0.72637,0.55699,1.10188,0.000118195,0.000118195,0.000118195
9,12716.6,0.75827,0.49687,1.16927,0.86848,0.85507,0.8828,0.71652,0.72078,0.54054,1.09565,8.008e-05,8.008e-05,8.008e-05
10,14243.9,0.72853,0.46139,1.14678,0.88497,0.86094,0.88932,0.72732,0.6938,0.50078,1.07666,4.1965e-05,4.1965e-05,4.1965e-05
