epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1603.13,0.55157,0.42598,1.07238,0.73285,0.60898,0.67313,0.53048,0.71747,1.13566,1.1797,4.0988e-05,4.0988e-05,4.0988e-05
2,2967.18,0.59788,0.52153,1.11162,0.73666,0.55417,0.62995,0.49655,0.73338,1.26844,1.19513,7.38712e-05,7.38712e-05,7.38712e-05
3,4375.14,0.62493,0.58067,1.13281,0.65678,0.61694,0.62473,0.4919,0.7226,1.27005,1.18347,9.86364e-05,9.86364e-05,9.86364e-05
4,5480.35,0.63139,0.57426,1.13941,0.7258,0.5676,0.6359,0.49981,0.7434,1.19499,1.20258,8.6469e-05,8.6469e-05,8.6469e-05
