epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,46.6807,0.89993,3.6644,1.3032,0.00174,0.16667,0.00186,0.00168,2.00067,5.15692,1.95851,2.11379e-05,2.11379e-05,2.11379e-05
25,48.4991,0.6415,3.88539,1.20503,0.00185,0.16667,0.00193,0.00174,2.01315,5.19512,1.96182,2.17741e-05,2.17741e-05,2.17741e-05
26,50.2269,0.85281,3.32885,1.26273,0.00185,0.16667,0.00193,0.00174,2.01315,5.19512,1.96182,2.23869e-05,2.23869e-05,2.23869e-05
27,52.1811,0.81645,3.09126,1.24704,0.00203,0.16667,0.00215,0.00086,2.03316,5.2163,1.97075,2.2976e-05,2.2976e-05,2.2976e-05
28,53.8527,0.92845,3.02057,1.25511,0.00203,0.16667,0.00215,0.00086,2.03316,5.2163,1.97075,2.35417e-05,2.35417e-05,2.35417e-05
29,55.6166,0.90885,3.33741,1.33613,0.00214,0.16667,0.00224,0.0009,2.07,5.25174,1.99602,2.40837e-05,2.40837e-05,2.40837e-05
30,57.2758,0.76798,2.46401,1.28178,0.00214,0.16667,0.00224,0.0009,2.07,5.25174,1.99602,2.46022e-05,2.46022e-05,2.46022e-05
31,58.955,0.89452,3.11256,1.42392,0.00231,0.16667,0.0024,0.00096,2.09853,5.28167,2.01127,2.50971e-05,2.50971e-05,2.50971e-05
32,60.4782,0.69802,2.43471,1.2955,0.00231,0.16667,0.0024,0.00096,2.09853,5.28167,2.01127,2.55685e-05,2.55685e-05,2.55685e-05
33,62.2689,0.87832,2.88429,1.31719,0.00245,0.16667,0.00259,0.0013,2.09681,5.29602,2.00439,2.60163e-05,2.60163e-05,2.60163e-05
34,64.0045,0.858,2.6012,1.39639,0.00245,0.16667,0.00259,0.0013,2.09681,5.29602,2.00439,2.64405e-05,2.64405e-05,2.64405e-05
35,65.8319,0.71683,2.05431,1.27424,0.00269,0.16667,0.00296,0.00148,2.13024,5.30519,2.01389,2.68412e-05,2.68412e-05,2.68412e-05
36,67.6025,0.80843,2.01768,1.28247,0.00269,0.16667,0.00296,0.00148,2.13024,5.30519,2.01389,2.72183e-05,2.72183e-05,2.72183e-05
37,69.4229,0.9245,2.25456,1.36278,0.00303,0.16667,0.00338,0.00169,2.18537,5.33693,2.05514,2.75718e-05,2.75718e-05,2.75718e-05
38,71.2825,0.4974,1.28633,0.95219,0.00303,0.16667,0.00338,0.00169,2.18537,5.33693,2.05514,2.79018e-05,2.79018e-05,2.79018e-05
39,73.1715,0.59383,1.47883,1.12134,0.00314,0.16667,0.00361,0.0018,2.22956,5.37334,2.04294,2.82082e-05,2.82082e-05,2.82082e-05
40,75.0127,0.57091,1.21404,0.99161,0.00314,0.16667,0.00361,0.0018,2.22956,5.37334,2.04294,2.84911e-05,2.84911e-05,2.84911e-05
41,77.0788,0.56112,1.53537,1.07101,0.00355,0.16667,0.00377,0.00188,2.20639,5.41001,2.03157,2.87504e-05,2.87504e-05,2.87504e-05
42,79.0748,0.64704,1.56002,1.11395,0.00355,0.16667,0.00377,0.00188,2.20639,5.41001,2.03157,2.89861e-05,2.89861e-05,2.89861e-05
43,80.8592,0.65364,1.69899,1.27431,0.00362,0.16667,0.00638,0.00218,2.23955,5.4665,2.04954,2.91983e-05,2.91983e-05,2.91983e-05
44,82.5983,0.62052,1.12074,1.15104,0.00362,0.16667,0.00638,0.00218,2.23955,5.4665,2.04954,2.93869e-05,2.93869e-05,2.93869e-05
45,85.0107,0.5768,1.27064,1.08175,0.00379,0.16667,0.00721,0.00247,2.2491,5.5239,2.06038,2.9552e-05,2.9552e-05,2.9552e-05
46,87.8259,0.61943,1.23677,1.11469,0.00379,0.16667,0.00721,0.00247,2.2491,5.5239,2.06038,2.96935e-05,2.96935e-05,2.96935e-05
47,92.3399,0.61909,1.87975,1.09879,0.00397,0.16667,0.0079,0.00286,2.23713,5.61805,2.06648,2.98114e-05,2.98114e-05,2.98114e-05
48,97.4669,0.53632,1.07157,1.09518,0.00397,0.16667,0.0079,0.00286,2.23713,5.61805,2.06648,2.99058e-05,2.99058e-05,2.99058e-05
49,103.021,0.63012,1.83349,1.13891,0.00388,0.16667,0.00975,0.00374,2.22025,5.67817,2.07088,2.99766e-05,2.99766e-05,2.99766e-05
50,107.385,0.5839,1.12497,1.04401,0.00388,0.16667,0.00975,0.00374,2.22025,5.67817,2.07088,3.00238e-05,3.00238e-05,3.00238e-05
51,111.532,0.67379,1.28028,1.14546,0.00397,0.16667,0.01036,0.00397,2.22688,5.71487,2.07814,3.00475e-05,3.00475e-05,3.00475e-05
52,116.1,0.62861,1.09815,1.12301,0.00397,0.16667,0.01036,0.00397,2.22688,5.71487,2.07814,3.00476e-05,3.00476e-05,3.00476e-05
53,120.454,0.40188,1.32917,1.01104,0.00397,0.16667,0.01036,0.00397,2.22688,5.71487,2.07814,3.00242e-05,3.00242e-05,3.00242e-05
54,124.41,0.58762,0.87525,1.03867,0.00407,0.16667,0.01185,0.00416,2.2274,5.70741,2.0902,2.99772e-05,2.99772e-05,2.99772e-05
55,128.052,0.55589,0.97794,1.11319,0.00407,0.16667,0.01185,0.00416,2.2274,5.70741,2.0902,2.99066e-05,2.99066e-05,2.99066e-05
56,131.739,0.60299,1.24521,1.13918,0.00407,0.16667,0.01185,0.00416,2.2274,5.70741,2.0902,2.98125e-05,2.98125e-05,2.98125e-05
57,135.665,0.67012,1.25053,1.18312,0.00362,0.16667,0.01185,0.00345,2.22796,5.6686,2.09086,2.96948e-05,2.96948e-05,2.96948e-05
58,139.097,0.40157,2.0051,1.13259,0.00362,0.16667,0.01185,0.00345,2.22796,5.6686,2.09086,2.95535e-05,2.95535e-05,2.95535e-05
59,142.545,0.41759,1.23883,0.97394,0.00362,0.16667,0.01185,0.00345,2.22796,5.6686,2.09086,2.93887e-05,2.93887e-05,2.93887e-05
60,146.144,0.60989,0.94153,1.18404,0.08681,0.18333,0.05965,0.02672,2.24533,5.66448,2.10297,2.92003e-05,2.92003e-05,2.92003e-05
61,149.811,0.46273,0.86159,1.01784,0.08681,0.18333,0.05965,0.02672,2.24533,5.66448,2.10297,2.89884e-05,2.89884e-05,2.89884e-05
62,153.731,0.56114,1.1574,1.11574,0.08681,0.18333,0.05965,0.02672,2.24533,5.66448,2.10297,2.87529e-05,2.87529e-05,2.87529e-05
63,157.423,0.46731,1.24455,1.02757,0.0866,0.18333,0.06091,0.02823,2.26832,5.61177,2.12609,2.84938e-05,2.84938e-05,2.84938e-05
64,160.011,0.48427,0.88632,0.912,0.0866,0.18333,0.06091,0.02823,2.26832,5.61177,2.12609,2.82112e-05,2.82112e-05,2.82112e-05
