epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64725,1.09003,4.92064,1.5657,0.00091,0.16667,0.00102,0.00102,2.1852,4.95769,2.0083,0,0,0
2,4.8808,1.12502,5.21028,1.74314,0.00088,0.16667,0.00101,0.00101,2.18592,4.96323,2.01494,1.17822e-06,1.17822e-06,1.17822e-06
3,6.05982,1.25243,5.21048,1.68492,0.00091,0.16667,0.00108,0.00108,2.18249,4.96304,2.00202,2.33288e-06,2.33288e-06,2.33288e-06
4,7.60237,1.0804,4.95366,1.55056,0.0009,0.16667,0.00111,0.00111,2.16318,4.95581,1.96733,3.46397e-06,3.46397e-06,3.46397e-06
5,10.1937,1.15654,4.99564,1.66322,0.00091,0.16667,0.00118,0.00118,2.17731,4.9523,1.96696,4.5715e-06,4.5715e-06,4.5715e-06
6,12.8431,1.04794,5.05779,1.62382,0.00096,0.16667,0.00119,0.00119,2.1321,4.94005,1.952,5.65548e-06,5.65548e-06,5.65548e-06
7,15.3849,1.16055,4.72856,1.64294,0.001,0.16667,0.00128,0.00128,2.0968,4.9382,1.93246,6.71588e-06,6.71588e-06,6.71588e-06
8,17.6135,1.05232,4.93096,1.7007,0.0011,0.16667,0.00135,0.00135,2.09935,4.92173,1.9307,7.75273e-06,7.75273e-06,7.75273e-06
9,19.4937,0.93599,4.74307,1.45546,0.0012,0.16667,0.00144,0.00144,2.11338,4.93191,1.94522,8.76602e-06,8.76602e-06,8.76602e-06
10,21.3682,1.01821,4.67464,1.56214,0.00124,0.16667,0.00152,0.00152,2.12272,4.944,1.95834,9.75574e-06,9.75574e-06,9.75574e-06
11,23.206,1.04424,4.73662,1.55892,0.00127,0.16667,0.00155,0.00139,2.12062,4.95702,1.96332,1.07219e-05,1.07219e-05,1.07219e-05
12,24.9113,0.91124,5.09718,1.49164,0.00137,0.16667,0.00166,0.00149,2.12123,4.99811,1.98129,1.16645e-05,1.16645e-05,1.16645e-05
13,26.6115,1.2882,4.86338,1.81026,0.00147,0.16667,0.00188,0.0017,2.08467,4.99881,1.96114,1.25835e-05,1.25835e-05,1.25835e-05
14,28.426,0.83869,4.38012,1.3922,0.0015,0.16667,0.00191,0.00172,2.08001,5.02528,1.95337,1.3479e-05,1.3479e-05,1.3479e-05
15,30.9784,0.98109,4.5966,1.55123,0.00147,0.16667,0.00188,0.0017,2.04915,5.05443,1.93448,1.43509e-05,1.43509e-05,1.43509e-05
16,32.6679,0.99614,4.49244,1.44282,0.00149,0.16667,0.00188,0.0017,2.04314,5.08537,1.93298,1.51993e-05,1.51993e-05,1.51993e-05
17,34.5791,0.82618,3.87268,1.34674,0.00149,0.16667,0.00182,0.00164,2.01053,5.10613,1.9577,1.60241e-05,1.60241e-05,1.60241e-05
18,36.3018,0.68858,3.94031,1.29765,0.00149,0.16667,0.00182,0.00164,2.01053,5.10613,1.9577,1.68253e-05,1.68253e-05,1.68253e-05
19,37.9723,0.75828,3.95812,1.26538,0.00147,0.16667,0.00178,0.0016,2.01115,5.12169,1.96952,1.7603e-05,1.7603e-05,1.7603e-05
20,39.7285,0.87385,4.41552,1.39444,0.00147,0.16667,0.00178,0.0016,2.01115,5.12169,1.96952,1.83571e-05,1.83571e-05,1.83571e-05
21,41.5731,0.85124,3.54642,1.31187,0.00159,0.16667,0.00186,0.00168,1.99797,5.13924,1.97663,1.90876e-05,1.90876e-05,1.90876e-05
22,43.1929,0.924,3.97995,1.26116,0.00159,0.16667,0.00186,0.00168,1.99797,5.13924,1.97663,1.97946e-05,1.97946e-05,1.97946e-05
23,45.0062,1.03723,3.50098,1.47174,0.00174,0.16667,0.00186,0.00168,2.00067,5.15692,1.95851,2.0478e-05,2.0478e-05,2.0478e-05
